T1,T2,time_taken_t1,time_taken_t2,edit_distance_t1,edit_distance_t2
8,8,0.0000,0.0001,0,0
8,16,0.0001,0.0002,0,8
8,32,0.0001,0.0003,0,24
8,64,0.0003,0.0007,0,56
8,128,0.0005,0.0015,0,120
8,256,0.0011,0.0032,0,248
8,512,0.0020,0.0065,0,504
8,1024,0.0040,0.0139,0,1016
16,16,0.0001,0.0003,0,0
16,32,0.0002,0.0007,0,16
16,64,0.0005,0.0017,0,48
16,128,0.0009,0.0033,0,112
16,256,0.0017,0.0068,0,240
16,512,0.0037,0.0152,0,496
16,1024,0.0066,0.0303,0,1008
32,32,0.0004,0.0017,0,0
32,64,0.0008,0.0033,0,32
32,128,0.0016,0.0071,0,96
32,256,0.0030,0.0146,0,224
32,512,0.0059,0.0310,0,480
32,1024,0.0120,0.0654,0,992
64,64,0.0017,0.0077,0,0
64,128,0.0029,0.0148,0,64
64,256,0.0056,0.0309,0,192
64,512,0.0111,0.0652,0,448
64,1024,0.0216,0.1357,0,960
128,128,0.0056,0.0309,0,0
128,256,0.0116,0.0700,0,128
128,512,0.0222,0.1415,0,384
128,1024,0.0417,0.2827,0,896
256,256,0.0213,0.1351,0,0
256,512,0.0426,0.2916,0,256
256,1024,0.0842,0.6264,0,768
512,512,0.3709,0.6217,0,0
512,1024,0.1644,1.2215,0,512
1024,1024,0.3234,2.6009,0,0
